Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,141369,-,-,-,39.01,-122.14,0,101,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2021,1,1,0,0,11.600000000000001,25,497,97,0,4.2,25,497,0,97,60.32,81.63,0.15,1007,1.3,324,2.5,0.0000,0.0000
2021,1,1,0,30,10.600000000000001,24,329,46,0,4.2,24,329,0,46,64.45,86.23,0.15,1007,1.3,324,2.7,0.0000,0.0000
2021,1,1,1,0,9.600000000000001,3,27,2,0,4,3,27,0,2,68.31,91.41,0.15,1007,1.3,323,2.9000000000000004,0.0000,0.0000
2021,1,1,1,30,9.3,0,0,0,0,4,0,0,0,0,69.7,96.62,0.15,1007,1.3,324,3,0.0000,0.0000
2021,1,1,2,0,9,0,0,0,0,4.3,0,0,0,0,72.57000000000001,102.02,0.15,1007,1.3,325,3.1,0.0000,0.0000
2021,1,1,2,30,8.5,0,0,0,0,4.3,0,0,0,0,75.06,107.56,0.15,1007,1.3,326,2.9000000000000004,0.0000,0.0000
2021,1,1,3,0,8.1,0,0,0,0,4.6000000000000005,0,0,0,0,78.55,113.22,0.15,1007,1.3,326,2.8000000000000003,0.0000,0.0000
2021,1,1,3,30,7.800000000000001,0,0,0,0,4.6000000000000005,0,0,0,0,80.17,118.97,0.15,1007,1.4000000000000001,327,2.8000000000000003,0.0000,0.0000
2021,1,1,4,0,7.5,0,0,0,0,4.7,0,0,0,0,82.47,124.77,0.15,1007,1.4000000000000001,328,2.8000000000000003,0.0000,0.0000
2021,1,1,4,30,7.300000000000001,0,0,0,0,4.7,0,0,0,0,83.60000000000001,130.59,0.15,1007,1.4000000000000001,331,2.8000000000000003,0.0000,0.0000
